job,hostname,n,wall_time_serial,wall_time_vectorized
hpc-c11-node23.unitn.it,16,0.000000,0.000000
hpc-c11-node23.unitn.it,32,0.000000,0.000000
hpc-c11-node23.unitn.it,64,0.000000,0.000000
hpc-c11-node23.unitn.it,128,0.000000,0.000000
hpc-c11-node23.unitn.it,256,0.000012,0.000000
hpc-c11-node23.unitn.it,512,0.000000,0.000000
hpc-c11-node23.unitn.it,1024,0.000000,0.000000
hpc-c11-node23.unitn.it,2048,0.000002,0.000000
hpc-c11-node23.unitn.it,4096,0.000016,0.000001
hpc-c11-node23.unitn.it,8192,0.000015,0.000001
hpc-c11-node23.unitn.it,16384,0.000032,0.000003
hpc-c11-node23.unitn.it,32768,0.000070,0.000006
hpc-c11-node23.unitn.it,65536,0.000151,0.000015
hpc-c11-node23.unitn.it,131072,0.000301,0.000069
hpc-c11-node23.unitn.it,262144,0.000627,0.000133
hpc-c11-node23.unitn.it,524288,0.001247,0.000275
hpc-c11-node23.unitn.it,1048576,0.001721,0.000551
hpc-c11-node23.unitn.it,2097152,0.003415,0.001328
hpc-c11-node23.unitn.it,4194304,0.007650,0.003896
