job,n,wall_time1,wall_time2
0,100000000,0.340000,0.270000
1,100000000,0.270000,0.260000
2,100000000,0.260000,0.270000
3,100000000,0.270000,0.260000
4,100000000,0.260000,0.270000
5,100000000,0.270000,0.260000
6,100000000,0.260000,0.270000
7,100000000,0.270000,0.260000
8,100000000,0.270000,0.260000
9,100000000,0.270000,0.260000
