job,n,wall_time1,wall_time2
0,100000000,0.370000,0.290000
1,100000000,0.290000,0.290000
2,100000000,0.290000,0.290000
3,100000000,0.290000,0.290000
4,100000000,0.300000,0.290000
5,100000000,0.300000,0.290000
6,100000000,0.290000,0.290000
7,100000000,0.300000,0.290000
8,100000000,0.290000,0.290000
9,100000000,0.290000,0.290000
