job,n,wall_time
0,100000000,0.600000
1,100000000,0.430000
2,100000000,0.380000
3,100000000,0.320000
4,100000000,0.260000
5,100000000,0.380000
6,100000000,0.270000
7,100000000,0.290000
8,100000000,0.260000
9,100000000,0.310000
